address,exhibit_url,registration_number,country_name,state,foreign_principal,date,registration_date,url,registration
New York  ,http://www.fara.gov/docs/495-Exhibit-AB-19470814-HAVSRC03.pdf,495,AFGHANISTAN,NY,Austrian National Tourist Office,10/03/1947,10/03/1947,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:495,Exhibit%20AB,AUSTRIA","Austrian Tourist Office, Inc."
House #3 MRRD Road,http://www.fara.gov/docs/5945-Exhibit-AB-20140505-10.pdf,5945,AFGHANISTAN,,"Transformation and Continuity, Ajmal Ghani",05/05/2014,06/26/2009,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:5945,Exhibit%20AB,AFGHANISTAN",Fenton Communications
8105 Ainsworth Avenue,http://www.fara.gov/docs/5945-Exhibit-AB-20140505-10.pdf,6065,AFGHANISTAN,VA,Transformation and Continuity,07/03/2014,09/23/2011,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6065,Exhibit%20AB,AFGHANISTAN","Roberti + White, LLC"
Rr. Sami Frasheri 20/10 Tirana 20/10  ,http://www.fara.gov/docs/6398-Exhibit-AB-20161201-2.pdf,6335,ALBANIA,,"Ilir Meta, Chairman of LSI (Socialist Movement for Integration)",02/24/2016,01/08/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6335,Exhibit%20AB,ALBANIA","Global Security and Innovative Strategies, LLC"
Rruga e Elbasanit Vila Nr. 71,http://www.fara.gov/docs/6398-Exhibit-AB-20161201-2.pdf,6347,ALBANIA,,"Albert Sino and Aurel Baci, Top Channel Shareholders",08/11/2016,04/03/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6347,Exhibit%20AB,ALBANIA","Alexandria Group International, LLC"
Bulevardi Dshmoret E Kombit,http://www.fara.gov/docs/6398-Exhibit-AB-20161201-2.pdf,6391,ALBANIA,,LSI Party of Albania and Ilir Meta,01/06/2017,11/16/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6391,Exhibit%20AB,ALBANIA","McKeon Group, Inc."
"2118 Kalorama Road, NW",http://www.fara.gov/docs/4776-Exhibit-AB-19930303-D1Y2IS02.pdf,4776,ALGERIA,DC,"Government of the People's Democratic Republic of Algeria, Embassy",05/25/2007,03/02/1993,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:4776,Exhibit%20AB,ALGERIA","Foley Hoag, LLP"
  ,http://www.fara.gov/docs/6398-Exhibit-AB-20161201-2.pdf,6398,ANGOLA,,Movimento de Uniao Nacional (M.U.N) Angola,12/01/2016,12/01/2016,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:6398,Exhibit%20AB,ANGOLA",Movimento de Uniao Nacional (M.U.N) Angola
Attorney General's Chambers,http://www.fara.gov/docs/1032-Exhibit-AB-19570601-CYYFQW03.pdf,2244,ANTIGUA & BARBUDA,,Government of Antigua and Barbuda,08/24/2012,02/18/1971,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:2244,Exhibit%20AB,ANTIGUA%20%26%20BARBUDA",Hogan Lovells US LLP
Melbourne  ,http://www.fara.gov/docs/1032-Exhibit-AB-19570601-CYYFQW03.pdf,1032,AUSTRALIA,,Australian National Travel Association,06/03/1957,06/03/1957,"https://efile.fara.gov/pls/apex/f?p=171:200:0::NO:RP,200:P200_REG_NUMBER,P200_DOC_TYPE,P200_COUNTRY:1032,Exhibit%20AB,AUSTRALIA",Tourism Australia
